SITE_GAW_ID,DATE,DATE,DATE,TIME,TIME,TIME,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_VALUE,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_flag
CVO,2020,1,4,6,0,0,-999,-9,-9,-9,-9,-9,414.08,0.025,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,7,0,0,-999,-9,-9,-9,-9,-9,414.1,0.032,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,8,0,0,-999,-9,-9,-9,-9,-9,414.34,0.1,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,9,0,0,-999,-9,-9,-9,-9,-9,414.58,0.05,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,10,0,0,-999,-9,-9,-9,-9,-9,414.74,0.059,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,11,0,0,-999,-9,-9,-9,-9,-9,414.89,0.035,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,12,0,0,-999,-9,-9,-9,-9,-9,414.86,0.042,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,13,0,0,-999,-9,-9,-9,-9,-9,414.97,0.088,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,14,0,0,-999,-9,-9,-9,-9,-9,415.3,0.112,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,15,0,0,-999,-9,-9,-9,-9,-9,415.56,0.072,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,16,0,0,-999,-9,-9,-9,-9,-9,415.69,0.072,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,17,0,0,-999,-9,-9,-9,-9,-9,415.85,0.119,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,18,0,0,-999,-9,-9,-9,-9,-9,416.11,0.045,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,19,0,0,-999,-9,-9,-9,-9,-9,416.24,0.087,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,20,0,0,-999,-9,-9,-9,-9,-9,416.84,0.187,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,21,0,0,-999,-9,-9,-9,-9,-9,417.39,0.143,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,22,0,0,-999,-9,-9,-9,-9,-9,417.69,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,4,23,0,0,-999,-9,-9,-9,-9,-9,417.76,0.035,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,0,0,0,-999,-9,-9,-9,-9,-9,417.77,0.034,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,1,0,0,-999,-9,-9,-9,-9,-9,417.66,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,2,0,0,-999,-9,-9,-9,-9,-9,417.56,0.046,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,3,0,0,-999,-9,-9,-9,-9,-9,417.69,0.062,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,4,0,0,-999,-9,-9,-9,-9,-9,417.75,0.037,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,5,0,0,-999,-9,-9,-9,-9,-9,417.97,0.11,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,6,0,0,-999,-9,-9,-9,-9,-9,418.17,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,7,0,0,-999,-9,-9,-9,-9,-9,418.21,0.029,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,8,0,0,-999,-9,-9,-9,-9,-9,418.15,0.052,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,9,0,0,-999,-9,-9,-9,-9,-9,418.02,0.054,60,16.864025,-24.867519,10,17,-999.999,0
