SITE_GAW_ID,START_YEAR,START_MONTH,START_DAY,START_HOUR,START_MIN,START_SEC,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_Value,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_Flag
CVO,2016,01,03,19,0,0,-999,-9,-9,-9,-9,-9,402.88,0.039,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,20,0,0,-999,-9,-9,-9,-9,-9,402.86,0.052,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,21,0,0,-999,-9,-9,-9,-9,-9,402.90,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,22,0,0,-999,-9,-9,-9,-9,-9,402.88,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,03,23,0,0,-999,-9,-9,-9,-9,-9,402.85,0.028,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,00,0,0,-999,-9,-9,-9,-9,-9,402.85,0.047,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,01,0,0,-999,-9,-9,-9,-9,-9,402.92,0.047,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,02,0,0,-999,-9,-9,-9,-9,-9,402.97,0.041,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,03,0,0,-999,-9,-9,-9,-9,-9,403.02,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,04,0,0,-999,-9,-9,-9,-9,-9,403.10,0.037,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,05,0,0,-999,-9,-9,-9,-9,-9,403.16,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,06,0,0,-999,-9,-9,-9,-9,-9,403.23,0.045,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,07,0,0,-999,-9,-9,-9,-9,-9,403.28,0.046,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,08,0,0,-999,-9,-9,-9,-9,-9,403.32,0.034,60,16.864025,-24.867519,10,17,-999.999,0
