Sample No,Start (Local time),Stop (Local time),Nitrate [µg/m³],Ammonium [µg/m³]
852,23/10/2012 01:46,26/10/2012 01:46,0.4486,0.0065
853,26/10/2012 01:46,29/10/2012 01:46,0.3341,0.0101
854,29/10/2012 01:46,01/11/2012 01:46,0.7173,0.046
855,01/11/2012 01:46,04/11/2012 01:46,0.2992,0.0274
856,04/11/2012 01:46,07/11/2012 01:46,0.8054,0.0206
857,07/11/2012 01:46,10/11/2012 01:46,0.3519,0.011
858,10/11/2012 01:46,13/11/2012 01:46,0.9071,0.0043
859,13/11/2012 01:46,16/11/2012 11:41,0.559,0.0089
860,16/11/2012 11:41,19/11/2012 11:41,0.4872,0.0119
903,19/11/2012 11:41,22/11/2012 11:41,0.6057,0.0056
904,22/11/2012 11:41,25/11/2012 11:46,0.5083,0.0606
905,25/11/2012 11:46,28/11/2012 11:46,0.2181,0.0169
906,28/11/2012 11:46,01/12/2012 11:46,0.4258,0.0153
907,01/12/2012 11:46,04/12/2012 13:13,0.6495,0.0554
908,04/12/2012 13:13,05/12/2012 15:10,0.6234,0.0543
909,05/12/2012 15:11,06/12/2012 15:16,0.9601,0.0801
910,06/12/2012 15:16,07/12/2012 15:15,0.9955,0.0585
911,07/12/2012 15:16,10/12/2012 15:15,1.1357,0.0259
912,10/12/2012 15:16,13/12/2012 15:15,0.426,0.0471
913,13/12/2012 15:16,17/12/2012 10:54,0.7108,0.0216
914,17/12/2012 11:00,18/12/2012 11:00,1.2973,0.0613
915,18/12/2012 11:01,19/12/2012 11:00,1.317,0.1301
916,19/12/2012 11:01,22/12/2012 11:00,1.2654,0.0258
917,22/12/2012 11:00,25/12/2012 11:00,0.9801,0.0101
918,25/12/2012 11:00,28/12/2012 11:00,0.9982,0.0042
919,28/12/2012 11:00,31/12/2012 10:59,0.2475,0.0223
920,31/12/2012 11:00,03/01/2013 11:02,1.1906,0.0667
921,04/01/2013 15:15,07/01/2013 15:17,1.1455,0.0364
922,07/01/2013 15:17,08/01/2013 15:17,1.5479,0.1014
923,08/01/2013 15:17,09/01/2013 15:17,1.2289,0.1487
924,09/01/2013 15:17,10/01/2013 15:17,1.1233,0.0963
925,10/01/2013 15:17,11/01/2013 15:17,0.9749,0.0908
926,11/01/2013 19:40,14/01/2013 19:39,1.1804,0.0351
927,14/01/2013 19:40,17/01/2013 14:59,1.3196,0.0189
928,17/01/2013 14:59,18/01/2013 13:36,1.2761,0.1326
929,18/01/2013 13:40,19/01/2013 13:37,1.1973,0.0333
930,19/01/2013 13:38,20/01/2013 10:48,0.802,0.2315
931,20/01/2013 11:00,21/01/2013 11:00,0.8481,0.2033
932,21/01/2013 11:00,22/01/2013 11:00,1.0228,0.15
933,22/01/2013 11:00,23/01/2013 11:00,0.6713,0.1065
934,23/01/2013 11:00,24/01/2013 11:00,0.7665,0.1609
935,24/01/2013 11:00,25/01/2013 11:00,0.8543,0.1056
936,25/01/2013 11:00,26/01/2013 11:00,1.2432,0.0477
937,26/01/2013 11:00,27/01/2013 11:00,0.9137,0.0501
938,27/01/2013 11:00,28/01/2013 11:00,0.7581,0.0579
939,28/01/2013 11:00,29/01/2013 11:00,0.9633,0.1601
940,29/01/2013 11:00,30/01/2013 11:00,1.4013,0.0734
941,30/01/2013 11:00,31/01/2013 11:00,1.2375,0.0924
942,31/01/2013 11:00,01/02/2013 11:00,2.1143,0.1274
943,01/02/2013 11:00,02/02/2013 11:00,2.3193,0.1333
944,02/02/2013 11:00,03/02/2013 11:00,2.0142,0.1662
945,03/02/2013 11:00,04/02/2013 11:00,1.873,0.0994
946,04/02/2013 11:00,05/02/2013 11:00,1.6792,0.0613
947,05/02/2013 11:00,06/02/2013 11:00,2.1385,0.0757
948,06/02/2013 11:00,07/02/2013 11:00,2.2726,0.1742
949,07/02/2013 11:00,08/02/2013 11:00,1.9885,0.1066
950,08/02/2013 11:00,09/02/2013 11:00,1.518,0.1858
951,09/02/2013 11:00,10/02/2013 11:00,0.797,0.1714
952,10/02/2013 11:00,11/02/2013 11:00,1.1414,0.2478
953,11/02/2013 11:00,12/02/2013 11:00,1.61,0.4008
954,12/02/2013 11:00,13/02/2013 11:00,2.4001,0.0887
955,13/02/2013 11:00,14/02/2013 11:00,1.8841,0.0646
956,14/02/2013 11:00,15/02/2013 11:00,0.9523,0.0647
957,15/02/2013 11:00,16/02/2013 11:00,0.5375,0.1307
958,16/02/2013 11:00,17/02/2013 11:00,0.5432,0.2122
959,17/02/2013 11:00,18/02/2013 11:00,1.0964,0.3195
960,18/02/2013 11:00,21/02/2013 11:00,0.9887,0.2128
961,21/02/2013 11:00,24/02/2013 11:00,1.0424,0.2458
962,24/02/2013 11:00,27/02/2013 11:00,1.0368,0.0314
963,27/02/2013 11:00,02/03/2013 11:00,0.4169,0.0977
964,02/03/2013 11:00,05/03/2013 11:00,0.4982,0.2097
965,05/03/2013 11:00,08/03/2013 11:00,0.6577,0.0315
966,08/03/2013 11:00,11/03/2013 11:00,0.3919,0.0271
967,11/03/2013 11:00,14/03/2013 11:00,1.6922,0.0521
968,14/03/2013 11:00,17/03/2013 11:00,0.8892,0.0315
969,17/03/2013 11:00,20/03/2013 11:00,0.3811,0.0473
970,20/03/2013 11:00,23/03/2013 11:00,0.4147,0.0515
971,23/03/2013 11:00,26/03/2013 11:00,0.8156,0.0425
972,26/03/2013 11:00,29/03/2013 11:00,0.74,0.1761
973,29/03/2013 11:00,01/04/2013 11:00,1.0638,0.0664
974,01/04/2013 11:00,04/04/2013 11:00,0.6374,0.1325
975,04/04/2013 11:00,07/04/2013 11:00,0.536,0.0946
976,07/04/2013 11:00,10/04/2013 11:00,0.8221,0.171
977,10/04/2013 11:00,13/04/2013 11:00,1.1204,0.0543
978,13/04/2013 11:00,16/04/2013 11:00,1.2447,0.0637
979,16/04/2013 11:00,19/04/2013 15:12,1.1672,0.1295
980,20/04/2013 09:00,23/04/2013 09:00,1.0504,0.22
981,23/04/2013 09:00,26/04/2013 09:00,1.4615,0.0828
982,26/04/2013 09:00,29/04/2013 09:00,1.5381,0.0942
983,29/04/2013 09:00,02/05/2013 09:00,0.9576,0.0397
984,02/05/2013 09:00,05/05/2013 09:00,0.948,0.0596
985,05/05/2013 09:00,08/05/2013 09:00,1.8409,0.256
986,08/05/2013 09:00,11/05/2013 09:00,1.1991,0.1491
987,11/05/2013 09:00,14/05/2013 09:00,0.7983,0.0745
988,14/05/2013 09:00,17/05/2013 09:00,0.5921,0.0425
989,17/05/2013 09:00,20/05/2013 09:00,0.6043,0.0385
990,20/05/2013 09:00,23/05/2013 09:00,1.1196,0.0592
991,23/05/2013 09:00,26/05/2013 09:00,1.1837,0.1173
992,26/05/2013 09:00,29/05/2013 09:00,0.7266,0.0549
993,29/05/2013 09:00,01/06/2013 09:00,0.7817,0.0617
994,01/06/2013 09:00,04/06/2013 09:00,0.892,0.0523
995,04/06/2013 09:00,07/06/2013 09:00,0.8636,0.0423
996,07/06/2013 09:00,10/06/2013 09:00,1.0477,0.0617
997,10/06/2013 09:00,12/06/2013 10:00,0.9687,0.0633
998,12/06/2013 11:02,13/06/2013 11:02,0.9226,0.1335
999,13/06/2013 11:02,14/06/2013 11:02,,
1000,14/06/2013 11:02,15/06/2013 11:02,0.7784,0.0655
1001,15/06/2013 11:02,16/06/2013 11:02,1.0094,0.0726
1002,16/06/2013 11:02,17/06/2013 11:02,0.5678,0.0232
1003,17/06/2013 11:02,18/06/2013 11:09,0.653,0.0593
1004,18/06/2013 10:30,19/06/2013 10:30,0.8476,0.0398
1005,19/06/2013 10:26,20/06/2013 10:26,0.9835,0.0354
1006,20/06/2013 10:26,21/06/2013 10:26,0.8818,0.1547
1007,21/06/2013 10:26,22/06/2013 10:26,0.9389,0.091
1008,22/06/2013 10:26,23/06/2013 10:32,1.0351,0.1394
1009,23/06/2013 10:32,24/06/2013 10:32,0.8194,0.1293
1010,24/06/2013 10:32,25/06/2013 10:32,0.7509,0.1862
1011,25/06/2013 10:32,26/06/2013 10:32,1.1863,0.1228
1012,26/06/2013 10:32,27/06/2013 10:32,1.2684,0.3307
1013,27/06/2013 10:32,28/06/2013 10:32,1.1411,0.188
1014,28/06/2013 10:32,29/06/2013 10:32,1.2669,0.208
1015,29/06/2013 10:32,30/06/2013 10:32,1.4034,0.1428
1016,30/06/2013 10:32,01/07/2013 10:32,2.2937,0.2775
1017,01/07/2013 10:32,02/07/2013 10:32,2.8683,0.2915
1018,02/07/2013 10:32,03/07/2013 10:32,2.2828,0.23
1019,03/07/2013 10:32,04/07/2013 10:32,2.1239,0.163
1020,04/07/2013 10:32,05/07/2013 10:32,2.1187,0.1173
1021,05/07/2013 10:32,06/07/2013 10:32,1.0862,0.0726
1022,06/07/2013 10:32,07/07/2013 10:32,0.5141,0.0502
1023,07/07/2013 10:32,08/07/2013 10:32,0.6744,0.0722
1024,08/07/2013 10:32,09/07/2013 10:32,0.9246,0.2124
1025,09/07/2013 10:32,12/07/2013 10:32,0.9419,0.1132
1026,12/07/2013 10:32,15/07/2013 10:32,2.3039,0.265
1027,15/07/2013 10:32,16/07/2013 10:32,1.4819,0.1381
1028,16/07/2013 10:32,17/07/2013 10:32,1.3552,0.2417
1029,17/07/2013 10:32,18/07/2013 10:32,2.8493,0.67
1030,18/07/2013 10:32,19/07/2013 10:32,2.2387,0.2282
1031,19/07/2013 10:32,20/07/2013 10:32,1.2086,0.171
1032,20/07/2013 10:32,21/07/2013 10:32,1.2775,0.123
1033,21/07/2013 10:32,22/07/2013 10:32,1.1685,0.036
1034,22/07/2013 10:32,25/07/2013 10:32,1.3327,0.1002
